user_id,last_buy,frequency,monetary,recency,R_score,F_score,M_score,RFM_score,segment
289,2025-03-24 12:35:49,1,858.35,7,4,1,3,8,潜力用户
290,2025-03-18 05:41:03,4,2183.2,13,3,5,5,13,潜力用户
295,2025-03-21 16:58:50,3,1366.6100000000001,10,3,5,5,13,潜力用户
296,2025-03-26 14:56:28,1,384.43,5,4,1,2,7,流失风险用户
298,2025-03-18 12:41:27,1,557.33,13,3,1,2,6,流失风险用户
300,2025-03-14 23:14:26,1,404.77,17,2,1,2,5,流失风险用户
309,2025-03-27 10:38:27,1,797.7,4,5,1,3,9,潜力用户
321,2025-03-17 10:05:16,1,15.43,14,3,1,1,5,流失风险用户
322,2025-03-18 21:14:50,2,1263.3899999999999,13,3,4,4,11,潜力用户
323,2025-03-08 23:43:34,1,1081.49,23,1,1,4,6,流失风险用户
331,2025-03-23 08:31:39,3,1480.45,8,4,5,5,14,高价值用户
334,2025-03-16 20:04:20,1,796.97,15,3,1,3,7,潜力用户
335,2025-03-23 02:04:51,2,831.79,8,4,4,3,11,潜力用户
339,2025-03-14 01:26:21,2,1643.4499999999998,17,2,4,5,11,流失风险用户
341,2025-03-03 12:29:40,1,282.82,28,1,1,1,3,流失风险用户
344,2025-03-29 14:54:27,2,478.03000000000003,2,5,4,2,11,潜力用户
346,2025-03-18 19:17:17,1,122.9,13,3,1,1,5,流失风险用户
347,2025-03-03 03:23:53,1,704.46,28,1,1,3,5,流失风险用户
348,2025-03-24 23:25:23,14,6284.2,7,4,5,5,14,高价值用户
351,2025-03-02 03:08:40,1,68.5,29,1,1,1,3,流失风险用户
354,2025-03-20 07:44:23,2,1207.4,11,3,4,4,11,潜力用户
365,2025-03-02 06:04:35,1,745.81,29,1,1,3,5,流失风险用户
368,2025-03-21 13:31:36,1,168.67,10,3,1,1,5,流失风险用户
374,2025-03-26 14:57:34,2,1558.07,5,4,4,5,13,高价值用户
375,2025-03-21 17:54:15,1,813.99,10,3,1,3,7,潜力用户
379,2025-03-23 21:41:42,1,536.76,8,4,1,2,7,流失风险用户
380,2025-03-14 13:23:30,2,1090.03,17,2,4,4,10,流失风险用户
384,2025-03-29 07:09:28,1,115.85,2,5,1,1,7,流失风险用户
388,2025-03-17 18:26:05,2,1571.96,14,3,4,5,12,潜力用户
390,2025-03-22 18:26:11,1,316.0,9,4,1,1,6,流失风险用户
391,2025-03-27 04:42:35,3,1223.3700000000001,4,5,5,4,14,高价值用户
395,2025-03-20 20:43:03,2,1108.84,11,3,4,4,11,潜力用户
400,2025-03-18 14:33:00,1,122.24,13,3,1,1,5,流失风险用户
405,2025-03-13 10:06:42,1,696.44,18,2,1,3,6,流失风险用户
407,2025-03-22 19:27:12,1,1028.71,9,4,1,4,9,潜力用户
411,2025-03-19 19:20:27,1,131.4,12,3,1,1,5,流失风险用户
413,2025-03-27 10:10:08,3,1347.52,4,5,5,5,15,高价值用户
414,2025-03-27 12:12:41,2,552.12,4,5,4,2,11,潜力用户
419,2025-03-30 04:25:34,14,6604.58,1,5,5,5,15,高价值用户
423,2025-03-29 22:37:15,1,134.4,2,5,1,1,7,流失风险用户
425,2025-03-18 03:55:16,2,1488.99,13,3,4,5,12,潜力用户
427,2025-03-17 07:57:29,1,811.41,14,3,1,3,7,潜力用户
429,2025-03-01 07:47:44,1,282.17,30,1,1,1,3,流失风险用户
432,2025-03-16 05:50:11,1,502.54,15,3,1,2,6,流失风险用户
433,2025-03-29 21:25:39,1,558.05,2,5,1,2,8,流失风险用户
434,2025-03-23 19:37:58,1,188.85,8,4,1,1,6,流失风险用户
445,2025-03-15 19:42:25,6,3382.95,16,2,5,5,12,流失风险用户
446,2025-03-02 12:50:25,1,81.2,29,1,1,1,3,流失风险用户
450,2025-03-11 18:28:55,1,18.52,20,2,1,1,4,流失风险用户
452,2025-03-02 06:40:45,1,950.03,29,1,1,4,6,流失风险用户
453,2025-03-24 21:52:24,2,691.01,7,4,4,3,11,潜力用户
454,2025-03-08 01:09:05,1,411.08,23,1,1,2,4,流失风险用户
456,2025-03-26 04:04:16,3,1743.38,5,4,5,5,14,高价值用户
457,2025-03-25 21:18:39,1,875.4,6,4,1,4,9,潜力用户
461,2025-03-01 18:23:15,1,903.07,30,1,1,4,6,流失风险用户
462,2025-03-28 16:12:39,1,126.46,3,5,1,1,7,流失风险用户
473,2025-03-21 23:06:51,1,190.99,10,3,1,1,5,流失风险用户
480,2025-03-29 20:36:29,1,982.64,2,5,1,4,10,潜力用户
484,2025-03-26 04:59:57,1,223.51,5,4,1,1,6,流失风险用户
485,2025-03-21 05:56:13,1,745.11,10,3,1,3,7,潜力用户
488,2025-03-30 18:46:33,4,2027.88,1,5,5,5,15,高价值用户
490,2025-03-05 05:05:29,2,1154.03,26,1,4,4,9,流失风险用户
493,2025-03-13 13:10:06,1,994.24,18,2,1,4,7,流失风险用户
497,2025-03-14 02:24:16,1,112.44,17,2,1,1,4,流失风险用户
499,2025-03-27 20:28:26,6,3565.1,4,5,5,5,15,高价值用户
513,2025-03-21 01:16:59,3,1406.53,10,3,5,5,13,潜力用户
517,2025-03-18 22:39:51,2,1887.96,13,3,4,5,12,潜力用户
520,2025-03-26 23:53:39,1,695.77,5,4,1,3,8,潜力用户
523,2025-03-08 12:43:09,1,559.49,23,1,1,2,4,流失风险用户
528,2025-03-25 07:42:08,1,367.9,6,4,1,2,7,流失风险用户
547,2025-03-20 04:57:37,1,68.87,11,3,1,1,5,流失风险用户
551,2025-03-27 09:14:32,4,857.57,4,5,5,3,13,潜力用户
554,2025-03-10 15:33:07,2,1353.04,21,2,4,5,11,流失风险用户
558,2025-03-11 19:35:34,1,323.31,20,2,1,2,5,流失风险用户
564,2025-03-28 09:49:56,3,2457.35,3,5,5,5,15,高价值用户
565,2025-03-13 15:30:34,2,1467.86,18,2,4,5,11,流失风险用户
571,2025-03-25 15:43:34,1,312.03,6,4,1,1,6,流失风险用户
574,2025-03-18 15:03:39,2,942.1500000000001,13,3,4,4,11,潜力用户
577,2025-03-01 03:18:07,1,502.45,30,1,1,2,4,流失风险用户
583,2025-03-01 19:28:03,1,502.51,30,1,1,2,4,流失风险用户
590,2025-03-28 08:28:44,1,552.25,3,5,1,2,8,流失风险用户
591,2025-03-18 10:46:31,4,2385.28,13,3,5,5,13,潜力用户
593,2025-03-20 17:46:58,3,1584.5,11,3,5,5,13,潜力用户
600,2025-03-24 05:52:29,6,2182.37,7,4,5,5,14,高价值用户
607,2025-03-28 11:57:09,5,2676.65,3,5,5,5,15,高价值用户
610,2025-03-21 03:27:18,7,4044.83,10,3,5,5,13,潜力用户
612,2025-03-30 17:24:21,1,850.99,1,5,1,3,9,潜力用户
615,2025-03-30 23:44:30,1,479.02,1,5,1,2,8,流失风险用户
616,2025-03-09 01:32:25,1,594.99,22,2,1,2,5,流失风险用户
618,2025-03-15 23:05:11,2,1047.28,16,2,4,4,10,流失风险用户
626,2025-03-26 05:52:01,3,999.39,5,4,5,4,13,高价值用户
633,2025-03-20 22:06:36,1,209.91,11,3,1,1,5,流失风险用户
636,2025-03-27 22:18:23,4,2002.27,4,5,5,5,15,高价值用户
637,2025-03-20 20:20:37,1,131.18,11,3,1,1,5,流失风险用户
638,2025-03-15 19:29:49,2,1449.35,16,2,4,5,11,流失风险用户
641,2025-03-08 09:12:06,1,116.08,23,1,1,1,3,流失风险用户
642,2025-03-14 06:31:39,1,53.56,17,2,1,1,4,流失风险用户
644,2025-03-14 11:15:20,1,894.14,17,2,1,4,7,流失风险用户
647,2025-03-28 12:31:20,1,316.96,3,5,1,1,7,流失风险用户
652,2025-03-15 22:45:38,1,289.29,16,2,1,1,4,流失风险用户
655,2025-03-22 14:50:29,2,861.5799999999999,9,4,4,4,12,高价值用户
656,2025-03-04 21:50:12,1,924.16,27,1,1,4,6,流失风险用户
666,2025-03-15 15:15:45,1,72.49,16,2,1,1,4,流失风险用户
668,2025-03-26 06:06:03,1,171.67,5,4,1,1,6,流失风险用户
669,2025-03-15 17:40:12,1,462.65,16,2,1,2,5,流失风险用户
674,2025-03-26 01:04:26,1,699.63,5,4,1,3,8,潜力用户
677,2025-03-26 06:45:54,4,2520.4700000000003,5,4,5,5,14,高价值用户
693,2025-03-22 23:30:59,1,779.01,9,4,1,3,8,潜力用户
694,2025-03-29 08:59:29,4,3517.08,2,5,5,5,15,高价值用户
696,2025-03-07 15:20:59,1,76.76,24,1,1,1,3,流失风险用户
699,2025-03-04 10:40:53,1,473.37,27,1,1,2,4,流失风险用户
701,2025-03-24 10:42:00,1,316.06,7,4,1,1,6,流失风险用户
702,2025-03-10 00:05:34,1,990.61,21,2,1,4,7,流失风险用户
703,2025-03-30 16:21:23,39,19879.28,1,5,5,5,15,高价值用户
705,2025-03-01 21:09:07,1,854.47,30,1,1,3,5,流失风险用户
708,2025-03-05 18:18:48,1,1057.17,26,1,1,4,6,流失风险用户
716,2025-03-01 01:43:31,1,12.41,30,1,1,1,3,流失风险用户
718,2025-03-14 04:59:51,1,872.24,17,2,1,4,7,流失风险用户
724,2025-03-14 10:48:17,1,778.22,17,2,1,3,6,流失风险用户
726,2025-03-24 05:29:39,1,580.08,7,4,1,2,7,流失风险用户
727,2025-03-01 07:09:33,1,758.64,30,1,1,3,5,流失风险用户
732,2025-03-28 20:04:53,3,1633.38,3,5,5,5,15,高价值用户
733,2025-03-17 08:24:30,1,614.15,14,3,1,3,7,潜力用户
735,2025-03-26 05:56:48,2,1120.17,5,4,4,4,12,高价值用户
738,2025-03-23 02:49:48,1,209.78,8,4,1,1,6,流失风险用户
750,2025-03-17 09:19:48,1,524.38,14,3,1,2,6,流失风险用户
752,2025-03-28 09:47:30,13,6544.0,3,5,5,5,15,高价值用户
755,2025-03-07 18:56:57,1,693.37,24,1,1,3,5,流失风险用户
756,2025-03-03 07:16:39,1,591.95,28,1,1,2,4,流失风险用户
757,2025-03-27 09:24:24,4,1103.17,4,5,5,4,14,高价值用户
758,2025-03-26 13:33:42,5,2027.13,5,4,5,5,14,高价值用户
759,2025-03-19 18:19:49,1,749.04,12,3,1,3,7,潜力用户
760,2025-03-17 18:18:24,2,940.82,14,3,4,4,11,潜力用户
762,2025-03-20 07:53:06,1,859.24,11,3,1,3,7,潜力用户
767,2025-03-24 00:25:00,1,1020.15,7,4,1,4,9,潜力用户
768,2025-03-05 23:02:00,1,375.08,26,1,1,2,4,流失风险用户
773,2025-03-28 21:03:16,1,601.85,3,5,1,2,8,流失风险用户
776,2025-03-01 18:09:42,1,14.39,30,1,1,1,3,流失风险用户
777,2025-03-20 12:56:07,2,637.77,11,3,4,3,10,潜力用户
778,2025-03-02 22:52:47,2,167.55,29,1,4,1,6,流失风险用户
780,2025-03-29 19:12:49,4,815.7,2,5,5,3,13,潜力用户
781,2025-03-08 18:22:48,1,650.41,23,1,1,3,5,流失风险用户
787,2025-03-27 09:10:32,2,1087.43,4,5,4,4,13,高价值用户
790,2025-03-04 12:51:58,1,1024.95,27,1,1,4,6,流失风险用户
792,2025-03-25 01:39:49,2,1223.3,6,4,4,4,12,高价值用户
793,2025-03-20 11:58:14,1,129.31,11,3,1,1,5,流失风险用户
802,2025-03-15 11:12:27,1,764.02,16,2,1,3,6,流失风险用户
807,2025-03-27 11:54:50,1,664.41,4,5,1,3,9,潜力用户
808,2025-03-22 04:16:39,3,2031.74,9,4,5,5,14,高价值用户
809,2025-03-30 15:18:38,1,210.9,1,5,1,1,7,流失风险用户
810,2025-03-14 06:40:28,1,661.41,17,2,1,3,6,流失风险用户
816,2025-03-12 00:53:30,2,1020.5,19,2,4,4,10,流失风险用户
819,2025-03-29 20:11:56,2,1235.98,2,5,4,4,13,高价值用户
820,2025-03-22 00:52:53,2,1246.33,9,4,4,4,12,高价值用户
829,2025-03-29 10:11:38,42,24303.88,2,5,5,5,15,高价值用户
831,2025-03-24 11:04:55,1,655.98,7,4,1,3,8,潜力用户
833,2025-03-21 04:50:27,3,1362.74,10,3,5,5,13,潜力用户
834,2025-03-01 05:08:11,1,599.5,30,1,1,2,4,流失风险用户
842,2025-03-29 10:15:35,3,1881.97,2,5,5,5,15,高价值用户
843,2025-03-06 16:09:08,1,877.9,25,1,1,4,6,流失风险用户
845,2025-03-04 08:54:18,1,983.57,27,1,1,4,6,流失风险用户
851,2025-03-21 17:13:35,1,595.45,10,3,1,2,6,流失风险用户
857,2025-03-17 02:51:08,1,592.18,14,3,1,2,6,流失风险用户
859,2025-03-20 08:29:38,1,1044.76,11,3,1,4,8,潜力用户
863,2025-03-04 14:00:15,1,769.48,27,1,1,3,5,流失风险用户
870,2025-03-28 09:12:38,4,2358.63,3,5,5,5,15,高价值用户
872,2025-03-07 12:22:53,1,187.69,24,1,1,1,3,流失风险用户
874,2025-03-22 21:44:53,2,1562.42,9,4,4,5,13,高价值用户
881,2025-03-27 22:30:08,9,3868.69,4,5,5,5,15,高价值用户
882,2025-03-21 01:00:22,1,499.72,10,3,1,2,6,流失风险用户
887,2025-03-26 11:10:16,1,292.65,5,4,1,1,6,流失风险用户
888,2025-03-10 16:01:34,1,186.81,21,2,1,1,4,流失风险用户
889,2025-03-02 16:36:25,1,376.37,29,1,1,2,4,流失风险用户
903,2025-03-29 11:22:19,3,1489.69,2,5,5,5,15,高价值用户
906,2025-03-29 03:17:55,1,354.28,2,5,1,2,8,流失风险用户
908,2025-03-26 21:30:11,3,1590.3600000000001,5,4,5,5,14,高价值用户
909,2025-03-05 06:57:28,1,73.06,26,1,1,1,3,流失风险用户
912,2025-03-09 02:47:53,1,978.47,22,2,1,4,7,流失风险用户
923,2025-03-07 16:46:45,1,691.76,24,1,1,3,5,流失风险用户
927,2025-03-26 11:00:33,3,2016.5,5,4,5,5,14,高价值用户
929,2025-03-11 00:25:31,1,591.31,20,2,1,2,5,流失风险用户
936,2025-03-28 07:14:23,2,720.8299999999999,3,5,4,3,12,潜力用户
942,2025-03-07 07:57:26,1,836.6,24,1,1,3,5,流失风险用户
943,2025-03-30 08:36:31,5,3551.76,1,5,5,5,15,高价值用户
946,2025-03-30 17:06:59,2,1106.0500000000002,1,5,4,4,13,高价值用户
947,2025-03-19 06:44:17,1,155.48,12,3,1,1,5,流失风险用户
949,2025-03-08 18:11:37,1,620.01,23,1,1,3,5,流失风险用户
955,2025-03-29 09:56:57,1,527.3,2,5,1,2,8,流失风险用户
957,2025-03-23 06:53:12,5,2709.61,8,4,5,5,14,高价值用户
958,2025-03-27 18:07:13,1,205.1,4,5,1,1,7,流失风险用户
961,2025-03-05 01:42:27,1,37.47,26,1,1,1,3,流失风险用户
966,2025-03-15 23:39:56,1,998.45,16,2,1,4,7,流失风险用户
973,2025-03-30 10:18:05,2,542.99,1,5,4,2,11,潜力用户
975,2025-03-22 12:19:42,4,2626.88,9,4,5,5,14,高价值用户
976,2025-03-01 09:14:05,1,470.58,30,1,1,2,4,流失风险用户
980,2025-03-01 06:47:51,1,723.78,30,1,1,3,5,流失风险用户
982,2025-03-03 09:11:46,1,929.89,28,1,1,4,6,流失风险用户
989,2025-03-28 09:56:24,1,270.06,3,5,1,1,7,流失风险用户
994,2025-03-24 01:59:51,1,591.33,7,4,1,2,7,流失风险用户
997,2025-03-04 04:21:01,1,408.39,27,1,1,2,4,流失风险用户
998,2025-03-29 02:16:24,2,1116.1399999999999,2,5,4,4,13,高价值用户
1005,2025-03-01 08:12:53,1,1003.37,30,1,1,4,6,流失风险用户
1008,2025-03-22 23:37:31,2,1059.18,9,4,4,4,12,高价值用户
1018,2025-03-16 18:19:36,3,1124.3600000000001,15,3,5,4,12,潜力用户
1024,2025-03-20 19:24:37,1,613.78,11,3,1,3,7,潜力用户
1027,2025-03-08 10:07:56,1,96.86,23,1,1,1,3,流失风险用户
1029,2025-03-07 16:08:14,2,1606.94,24,1,4,5,10,流失风险用户
1031,2025-03-12 03:55:41,1,770.28,19,2,1,3,6,流失风险用户
1036,2025-03-24 08:11:54,2,1057.97,7,4,4,4,12,高价值用户
1037,2025-03-18 05:40:50,2,1135.92,13,3,4,4,11,潜力用户
1043,2025-03-05 20:16:54,1,533.16,26,1,1,2,4,流失风险用户
1044,2025-03-11 14:21:13,1,401.35,20,2,1,2,5,流失风险用户
1046,2025-03-20 12:49:53,1,397.42,11,3,1,2,6,流失风险用户
1050,2025-03-18 19:40:39,1,310.44,13,3,1,1,5,流失风险用户
1056,2025-03-22 11:03:21,1,636.77,9,4,1,3,8,潜力用户
1057,2025-03-05 09:16:39,1,56.47,26,1,1,1,3,流失风险用户
1059,2025-03-04 17:42:46,1,1027.45,27,1,1,4,6,流失风险用户
1062,2025-03-28 14:36:02,5,2966.0,3,5,5,5,15,高价值用户
1068,2025-03-24 14:55:53,1,623.31,7,4,1,3,8,潜力用户
1071,2025-03-25 05:27:20,2,1645.74,6,4,4,5,13,高价值用户
1072,2025-03-21 03:04:30,1,443.74,10,3,1,2,6,流失风险用户
1075,2025-03-24 19:13:05,1,163.17,7,4,1,1,6,流失风险用户
1076,2025-03-13 22:50:14,1,657.86,18,2,1,3,6,流失风险用户
1077,2025-03-16 10:00:53,1,356.04,15,3,1,2,6,流失风险用户
1080,2025-03-30 15:50:31,1,618.01,1,5,1,3,9,潜力用户
1082,2025-03-04 01:38:12,1,549.28,27,1,1,2,4,流失风险用户
1085,2025-03-23 05:35:40,1,147.97,8,4,1,1,6,流失风险用户
1092,2025-03-26 22:29:48,3,1238.46,5,4,5,4,13,高价值用户
1094,2025-03-28 00:24:08,1,199.48,3,5,1,1,7,流失风险用户
1106,2025-03-22 19:44:53,2,677.21,9,4,4,3,11,潜力用户
1110,2025-03-08 21:01:11,1,461.79,23,1,1,2,4,流失风险用户
1119,2025-03-17 21:37:04,1,895.97,14,3,1,4,8,潜力用户
1121,2025-03-10 09:45:29,2,842.89,21,2,4,3,9,流失风险用户
1124,2025-03-29 11:21:23,14,7336.55,2,5,5,5,15,高价值用户
1129,2025-03-06 23:25:03,1,741.68,25,1,1,3,5,流失风险用户
1133,2025-03-29 09:49:31,1,764.94,2,5,1,3,9,潜力用户
1136,2025-03-15 04:45:32,1,729.67,16,2,1,3,6,流失风险用户
1138,2025-03-19 18:05:09,1,745.46,12,3,1,3,7,潜力用户
1142,2025-03-18 15:30:33,1,1096.32,13,3,1,4,8,潜力用户
1148,2025-03-18 08:32:46,2,1126.79,13,3,4,4,11,潜力用户
1151,2025-03-17 13:36:34,3,1515.77,14,3,5,5,13,潜力用户
1155,2025-03-29 22:28:32,2,976.0500000000001,2,5,4,4,13,高价值用户
1160,2025-03-30 23:16:46,42,24043.16,1,5,5,5,15,高价值用户
1161,2025-03-22 14:41:37,1,175.76,9,4,1,1,6,流失风险用户
1169,2025-03-19 20:48:39,1,775.74,12,3,1,3,7,潜力用户
1171,2025-03-04 07:42:52,1,228.2,27,1,1,1,3,流失风险用户
1172,2025-03-24 04:11:14,1,862.89,7,4,1,4,9,潜力用户
1176,2025-03-15 19:32:20,2,811.8,16,2,4,3,9,流失风险用户
1180,2025-03-11 20:38:02,1,248.71,20,2,1,1,4,流失风险用户
1185,2025-03-22 19:58:07,1,262.16,9,4,1,1,6,流失风险用户
1186,2025-03-12 17:40:52,2,1178.92,19,2,4,4,10,流失风险用户
1191,2025-03-06 05:26:41,2,1096.48,25,1,4,4,9,流失风险用户
1201,2025-03-15 20:16:09,1,775.89,16,2,1,3,6,流失风险用户
1206,2025-03-17 23:39:24,5,2333.29,14,3,5,5,13,潜力用户
1207,2025-03-02 02:12:10,1,803.34,29,1,1,3,5,流失风险用户
1211,2025-03-23 09:45:33,1,394.72,8,4,1,2,7,流失风险用户
1212,2025-03-23 07:57:19,1,155.43,8,4,1,1,6,流失风险用户
1213,2025-03-10 13:28:16,1,458.25,21,2,1,2,5,流失风险用户
1214,2025-03-04 23:25:07,1,847.48,27,1,1,3,5,流失风险用户
1215,2025-03-19 19:12:14,1,570.3,12,3,1,2,6,流失风险用户
1216,2025-03-30 17:50:48,2,1098.62,1,5,4,4,13,高价值用户
1218,2025-03-19 00:34:58,1,187.58,12,3,1,1,5,流失风险用户
1222,2025-03-17 06:29:41,1,786.47,14,3,1,3,7,潜力用户
1223,2025-03-15 20:42:41,1,59.7,16,2,1,1,4,流失风险用户
1225,2025-03-28 16:57:11,7,3494.16,3,5,5,5,15,高价值用户
1227,2025-03-14 15:20:22,1,925.82,17,2,1,4,7,流失风险用户
1233,2025-03-15 22:59:38,1,920.13,16,2,1,4,7,流失风险用户
1244,2025-03-28 07:03:50,2,964.71,3,5,4,4,13,高价值用户
1247,2025-03-11 17:16:35,1,115.79,20,2,1,1,4,流失风险用户
1248,2025-03-26 12:24:28,2,1499.01,5,4,4,5,13,高价值用户
1254,2025-03-20 03:31:23,1,79.48,11,3,1,1,5,流失风险用户
1257,2025-03-03 02:11:01,1,218.87,28,1,1,1,3,流失风险用户
1265,2025-03-29 03:33:47,4,2368.24,2,5,5,5,15,高价值用户
1276,2025-03-26 07:04:02,1,200.24,5,4,1,1,6,流失风险用户
1278,2025-03-19 22:45:37,1,511.34,12,3,1,2,6,流失风险用户
1281,2025-03-14 23:14:00,1,1032.08,17,2,1,4,7,流失风险用户
1284,2025-03-12 05:34:28,1,708.11,19,2,1,3,6,流失风险用户
1285,2025-03-27 12:17:08,5,2910.09,4,5,5,5,15,高价值用户
1287,2025-03-04 21:46:21,1,446.61,27,1,1,2,4,流失风险用户
1288,2025-03-02 00:25:19,1,797.04,29,1,1,3,5,流失风险用户
1289,2025-03-26 13:24:51,7,2781.67,5,4,5,5,14,高价值用户
1292,2025-03-03 21:58:10,1,402.0,28,1,1,2,4,流失风险用户
1300,2025-03-06 02:02:04,2,1743.96,25,1,4,5,10,流失风险用户
1304,2025-03-22 05:16:28,3,2048.71,9,4,5,5,14,高价值用户
1313,2025-03-06 02:40:22,1,829.7,25,1,1,3,5,流失风险用户
1315,2025-03-22 22:30:12,1,214.78,9,4,1,1,6,流失风险用户
1321,2025-03-13 05:14:46,1,708.94,18,2,1,3,6,流失风险用户
1324,2025-03-26 22:57:35,3,2393.93,5,4,5,5,14,高价值用户
1335,2025-03-14 17:46:25,3,2302.79,17,2,5,5,12,流失风险用户
